Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	-15.0	0.0006893522201844016	0.0022221246217714965	0.005046749427190967	-0.0036680449868221636	0.7564179468233597	0.9890948859717803
+	-14.0	0.0004051269606954167	0.002290813607095034	0.004897217420217356	-0.0040869634988265225	0.8596417365363294	0.9890948859717803
+	-13.0	-0.0009427909631956517	0.002475672039958522	0.003911791145605985	-0.005797373071997288	0.703367566326123	0.9875799254970055
+	-12.0	-0.0034470797336615617	0.002707841314984681	0.0018627665581836097	-0.008756926025506734	0.20313689119375947	0.9291077039261367
+	-11.0	-0.0009962405998425437	0.002807152169774162	0.00450834582360701	-0.006500827023292097	0.7226992170027755	0.9875799254970055
+	-10.0	0.004307816557379429	0.0027466061832022016	0.009693677455626982	-0.0010780443408681247	0.1169112202222283	0.9057892884088191
+	-9.0	0.006085521673717942	0.00273111637007241	0.011441008367113294	0.0007300349803225897	0.025954777410914873	0.7838342778096291
+	-8.0	0.005560689341688313	0.0026568348366705517	0.010770516271897481	0.0003508624114791437	0.03645209396828303	0.8841534269468089
+	-7.0	0.004964683240535123	0.0025948659658696876	0.010052994490703912	-0.00012362800963366602	0.05582758869509741	0.9057892884088191
+	-6.0	0.004331073280606431	0.0024664274247917055	0.009167527486088395	-0.0005053809248755335	0.07920919480829793	0.9057892884088191
+	-5.0	0.002513708532209456	0.0024046119976524677	0.00722894794760836	-0.002201530883189448	0.2959533587466712	0.9490117611725694
+	-4.0	0.0007044400461487267	0.0025086296177924553	0.00562364915930298	-0.004214769067005526	0.7788819250938732	0.9890948859717803
+	-3.0	9.071376658765606e-05	0.002577997664676428	0.005145947714166702	-0.0049645201809913895	0.9719328967457646	0.9890948859717803
+	-2.0	0.0008640547213098089	0.0024098220613133167	0.005589510627998932	-0.003861401185379314	0.719958037405352	0.9875799254970055
+	-1.0	0.0021787192318166544	0.0022740662943215952	0.006637969636740003	-0.0022805311731066945	0.33811924518687075	0.9515705690033177
+	0.0	0.0016292644218457361	0.0026499503200767796	0.006825591401114541	-0.003567062557423068	0.5387241687192252	0.9875799254970055
+	1.0	-0.0009982924167928249	0.002921267667876025	0.004730064783431981	-0.00672664961701763	0.7325808985927024	0.9890948859717803
+	2.0	-0.002412195404778534	0.0027055741630274926	0.0028932051950881937	-0.007717596004645262	0.3727120388098625	0.9598255838337958
+	3.0	-0.0018334642745877468	0.0024541021725098633	0.0029788211604560707	-0.006645749709631564	0.4550724536053158	0.9875799254970055
+	4.0	-0.0005900641783757325	0.0023607017280810245	0.004039070936609553	-0.005219199293361017	0.8026443636365063	0.9890948859717803
+	5.0	0.0018154232964815425	0.002323506060653687	0.006371620874223116	-0.0027407742812600314	0.43468295972144355	0.9875799254970055
+	6.0	0.002251733077203265	0.00240153509465541	0.006960938947771132	-0.002457472793364602	0.3485292151776743	0.9515705690033177
+	7.0	0.0003226991448832953	0.0024259785332370162	0.005079836517564764	-0.004434438227798173	0.894189759294585	0.9890948859717803
+	8.0	-0.00017977489607195682	0.00248933700087308	0.004701603037743076	-0.00506115282988699	0.9424342206356848	0.9890948859717803
+	9.0	-0.00016806366968313835	0.0023600594017871212	0.004459811898123011	-0.004795939237489288	0.943235033008162	0.9890948859717803
+	10.0	-0.0008506235152978984	0.002087107144424705	0.0032420159130837384	-0.004943262943679535	0.6836309393495758	0.9875799254970055
+	11.0	8.840861738117006e-05	0.002260247629764922	0.004520561797534198	-0.004343744562771857	0.9688021716568866	0.9890948859717803
+	12.0	0.0020009089455149155	0.0023980558227709773	0.006703292260118501	-0.00270147436908867	0.4041422385543946	0.9875799254970055
